,Latency
0,14.3
1,9.25
2,11.35
3,10.25
4,9.3
5,10.95
6,9.55
7,9.45
8,9.0
9,10.75
10,9.95
11,9.45
12,8.8
13,10.25
14,9.6
15,5.5
16,10.65
17,10.0
18,9.15
19,10.8
20,10.4
21,9.85
22,8.7
23,10.55
24,9.75
25,8.8
26,10.65
27,9.6
28,8.8
29,10.7
30,10.05
31,9.25
32,11.0
33,10.45
34,9.75
35,9.5
36,11.2
37,10.45
38,10.05
39,9.25
40,10.75
41,10.5
42,9.8
43,11.15
44,10.5
45,10.0
46,9.35
47,11.0
48,9.8
49,9.55
50,9.05
51,16.15
52,10.35
53,9.45
54,9.15
55,10.85
56,10.1
57,9.6
58,8.9
59,10.6
60,14.75
61,12.95
62,10.75
63,9.85
64,8.75
65,10.55
66,9.75
67,9.15
68,11.1
69,10.25
70,9.6
71,9.05
72,14.55
73,14.2
74,9.55
75,11.35
76,14.15
77,8.6
78,11.25
79,14.6
80,9.6
81,9.3
82,10.75
83,10.05
84,9.2
85,10.85
86,10.45
87,9.8
88,8.8
89,10.95
90,10.3
91,9.25
92,9.0
93,10.85
94,9.75
95,9.5
96,11.3
97,10.25
98,9.5
99,9.0
100,10.85
101,10.0
102,9.3
103,10.9
104,10.4
105,9.8
106,8.15
107,10.7
108,9.85
109,8.85
110,10.5
111,10.05
112,9.25
113,11.0
114,10.55
115,9.8
116,8.95
117,11.15
118,10.3
119,9.5
120,11.05
121,10.3
122,13.45
123,9.0
124,10.8
125,10.15
126,9.3
127,10.85
128,10.0
129,9.3
130,11.15
131,10.5
132,9.8
133,8.6
134,14.15
135,14.45
136,13.85
137,14.55
138,14.5
139,8.9
140,10.75
141,9.6
142,9.1
143,15.05
144,14.8
145,14.05
146,10.8
147,9.7
148,11.3
149,10.25
150,9.3
151,10.85
152,14.85
153,11.15
154,10.4
155,14.25
156,15.7
157,9.85
158,11.3
159,14.45
160,14.65
161,16.2
162,25.1
163,24.6
164,15.35
165,10.0
166,20.7
167,16.1
168,10.05
169,9.45
170,11.3
171,10.3
172,9.35
173,15.05
174,9.9
175,9.35
176,10.8
177,9.7
178,11.35
179,10.25
180,9.25
181,10.9
182,14.15
183,11.35
184,10.5
185,14.8
186,11.25
187,21.95
188,9.6
189,11.25
190,10.5
191,13.6
192,11.25
193,10.3
194,9.25
195,10.6
196,9.95
197,14.2
198,10.75
199,13.8
200,8.7
201,15.3
202,9.4
203,10.8
204,9.7
205,11.55
206,15.6
207,9.7
208,11.4
209,10.75
210,9.75
211,11.35
212,10.2
213,9.7
214,11.4
215,10.8
216,9.65
217,15.5
218,10.6
219,9.75
220,11.55
221,10.65
222,9.9
223,11.45
224,10.6
225,9.75
226,11.35
227,10.2
228,9.25
229,10.95
230,10.1
231,9.25
232,11.0
233,10.2
234,9.2
235,10.95
236,10.1
237,14.1
238,11.0
239,10.2
240,13.5
241,11.1
242,10.3
243,9.25
244,11.0
245,10.1
246,9.25
247,10.95
248,15.2
249,9.2
250,10.95
251,10.15
252,9.2
253,10.95
254,10.1
255,13.55
256,11.0
257,14.45
258,13.8
259,11.05
260,10.3
261,9.3
262,15.6
263,9.75
264,13.2
265,10.5
266,9.95
267,9.0
268,15.1
269,10.1
270,9.25
271,10.7
272,10.0
273,14.1
274,10.65
275,9.9
276,13.45
277,11.0
278,10.4
279,9.6
280,8.7
281,14.3
282,9.3
283,10.7
284,14.8
285,11.3
286,10.2
287,9.45
288,15.5
289,10.35
290,13.5
291,11.2
292,22.0
293,10.1
294,25.6
295,8.9
296,10.95
297,10.15
298,14.2
299,16.45
300,11.2
301,10.15
302,9.45
303,26.2
304,10.7
305,10.45
306,17.65
307,9.75
308,9.45
309,9.15
310,16.25
311,10.95
312,18.15
313,10.2
314,9.9
315,9.65
316,9.15
317,11.45
318,18.7
319,18.2
320,10.35
321,9.65
322,9.15
323,11.4
324,8.65
325,10.75
326,10.35
327,10.2
328,9.7
329,14.3
330,11.35
331,10.7
332,10.45
333,10.15
334,25.95
335,9.2
336,14.9
337,10.0
338,9.35
339,10.65
340,9.75
341,8.85
342,10.65
343,9.75
344,8.95
345,10.7
346,9.75
347,8.9
348,10.65
349,9.8
350,11.4
351,12.35
352,9.55
353,8.95
354,10.6
355,9.7
356,8.9
357,10.7
358,9.6
359,8.95
360,10.65
361,9.75
362,8.85
363,10.15
364,9.25
365,10.85
366,10.2
367,9.15
368,10.8
369,9.4
370,9.15
371,10.95
372,10.1
373,9.2
374,16.0
375,10.1
376,9.25
377,10.95
378,10.15
379,9.2
380,10.9
381,10.0
382,9.35
383,10.95
384,10.15
385,9.2
386,10.95
387,10.1
388,9.3
389,10.9
390,10.25
391,9.1
392,10.7
393,9.95
394,9.1
395,10.65
396,10.05
397,9.05
398,10.75
399,9.8
400,8.75
401,10.2
402,9.5
